kickoff_returner_player_id,avg_ep,avg_epa,return_count,kickoff_returner_player_name
00-0027691,1.4394632014446,-0.520792801864445,2,A.Roberts
00-0028063,1.4740977678448,-1.59937607799657,1,T.Jones
00-0029239,1.84128398401663,0.461004660231993,1,B.Bolden
00-0030456,1.00825135828927,-0.0338808717206121,1,G.Bernard
00-0030578,1.0805777527598879,0.5746879041996887,9,C.Patterson
00-0030968,0.8499587749635507,-0.009911877627018839,3,K.Smith
00-0031484,0.902702040271834,0.106037204386666,1,C.Manhertz
00-0031595,0.09805349833914054,-0.0084333141421666,2,M.Burton
00-0031598,0.0433493375603575,-0.0433493375603575,1,N.Boyle
00-0031687,1.1256803198484706,-0.14861742565175526,25,R.Mostert
00-0031763,1.2258067661247114,-0.49114367577623474,26,D.Carter
00-0031941,0.733399490360171,-0.185125257470645,1,J.Crowder
00-0032104,1.1961543769754759,-0.09312686748587742,26,A.Abdullah
00-0032200,0.89967563515529,0.0327749776188284,1,T.Montgomery
00-0032257,1.0468496192063743,0.10760138475702066,7,D.Johnson
00-0032355,1.1403130354738107,-0.07058272935682908,8,C.Rogers
00-0032450,0.8347627633484076,-0.38650961373787207,4,D.Washington
00-0032464,0.814003353269071,1.273060244246154,2,K.Raymond
00-0032975,0.14737651438918,-0.14737651438918,1,J.Williams
00-0033110,1.46353286365047,1.89518627244979,1,T.Higbee
00-0033111,1.1070483691000843,-0.21831036483733138,12,P.Cooper
00-0033246,0.0707199777825736,-0.0707199777825736,1,J.Mundt
00-0033292,0.7888410365170183,-0.4553049733513049,3,T.Taylor
00-0033357,1.43721836960564,0.08833031790951867,3,T.Hill
00-0033367,1.1737829435151084,-0.35964723379583996,4,C.Board
00-0033376,0.0435430866782554,0.143692161305808,1,P.Ricard
00-0033466,1.0683322303617988,0.11233640279776043,6,I.McKenzie
00-0033566,1.36068826564588,1.49300869833678,1,D.King
00-0033572,1.0782750329983952,0.1484992979073601,28,J.Agnew
00-0033576,0.8343065266963094,-0.2653342019766565,2,E.Saubert
00-0033854,0.8979122708551586,0.668285553227179,2,D.Ogunbowale
00-0033858,0.851356000290252,0.5193978880997749,2,J.Smith
00-0033951,0.770222366787493,-0.575271926354617,1,M.Mack
00-0034052,1.84128398401663,0.721202332526445,1,B.Zylstra
00-0034054,0.869559866376221,-0.243303932249546,1,R.Cracraft
00-0034164,1.4584274366498,-0.7214963923906885,2,T.Cannon
00-0034253,1.4740977678448,-0.297269117552787,1,D.Hilliard
00-0034278,1.1565747682960994,-0.15117984606982454,19,T.Smith
00-0034367,1.1314527861308314,0.3815769601939244,25,N.Hines
00-0034407,1.1442267553897445,-0.009908708406978129,28,R.McCloud
00-0034414,1.112326915623271,0.12101513514426201,16,B.Scott
00-0034419,1.1762795575274287,-0.07519297030879751,26,B.Berrios
00-0034440,1.1719999664587113,0.06669950265685348,23,J.Jackson
00-0034614,1.0604212440940666,0.34256265726734875,17,G.Igwebuike
00-0034646,1.092870202109529,-0.1496405199325333,30,B.Powell
00-0034798,0.40667417732765904,0.24368833831977096,2,D.Smythe
00-0034928,1.1096012309957168,0.2253184975347456,17,S.Sims
00-0034975,1.0133249330191083,0.06326891850823373,13,J.Hill
00-0035125,0.7372948723059399,0.0202292438916629,2,A.Ingold
00-0035133,1.089051056573434,0.2182253112833549,35,K.Nixon
00-0035140,1.03716762457043,0.103229819796979,1,M.Hardman
00-0035215,1.2612932487390933,-0.227528883765141,6,D.Harty
00-0035217,0.4245641631908559,-0.006063633588685967,3,B.Snell
00-0035291,0.8942988912167497,0.08844843093538696,20,T.Williams
00-0035341,0.017200263653649,-0.017200263653649,1,T.Irwin
00-0035357,0.770222366787493,1.26316389953718,1,C.Lewis
00-0035500,1.2126990773196498,-0.2682713621920403,11,G.Dortch
00-0035537,0.5789922478919226,0.018357537221163362,3,T.Johnson
00-0035547,0.0402553882449865,-1.73971071036067,1,J.Fortson
00-0035628,0.650261062080972,-0.644697900046594,1,D.Johnson
00-0035633,1.4740977678448,0.520024389959872,1,C.Ballentine
00-0035645,0.518876921298215,-0.17176944567472666,3,G.Olszewski
00-0035719,0.9071305051911625,-0.147777299163863,2,D.Samuel
00-0035726,0.914595436654054,0.483455174602568,1,J.Johnson
00-0035795,0.844319121446461,-5.77014482778031,1,J.Pierre
00-0035806,1.268789773399476,0.11162853575660853,4,J.Hasty
00-0035924,0.86345492862165,0.502407892607153,1,J.Ward
00-0035933,1.68175297090784,0.519953353563324,1,M.Hoecht
00-0036194,0.0555353321833536,-0.0555353321833536,1,D.Asiasi
00-0036222,1.1758745847619132,-0.030478100218008168,18,I.Rodgers
00-0036231,1.24287460255437,0.39277276606299,1,K.Dugger
00-0036244,0.0328839598223567,0.0727339285367634,1,C.Parkinson
00-0036268,1.1316878646612178,0.1718149175867437,3,L.Shenault
00-0036271,1.1974417150486274,-0.46556749902665595,5,Q.Watkins
00-0036316,0.7924853713411719,-0.352615640636941,4,C.Claybrooks
00-0036328,1.065249319365692,-0.17064746674094783,21,A.Gibson
00-0036331,1.0495136701657133,0.15232124749260617,15,D.Duvernay
00-0036332,1.24789820401929,1.46397156897001,1,J.Deguara
00-0036370,1.7491670739837,0.116752137662843,1,J.Kelley
00-0036383,1.2601018538698567,-0.20170343259815166,8,E.Benjamin
00-0036425,1.1593075616789676,-0.050418399342258245,12,D.Dallas
00-0036438,1.42505393060856,0.004673907533288,1,S.Sullivan
00-0036439,0.5819405751826697,-0.02527783022378575,2,T.Cleveland
00-0036527,1.39490666956408,-0.4323175696190449,4,D.Turner
