kickoff_returner_player_id,avg_ep,avg_epa,return_count,kickoff_returner_player_name
00-0000007,0.16399892937042748,0.5415759801573586,5,R.Abdullah
00-0000032,0.2020963444665542,0.40522315450652957,2,T.Ackerman
00-0000112,0.469948148122057,-3.46898659173166,1,C.Akins
00-0000488,0.292507112666499,0.796728517452721,1,L. Atkins
00-0000559,0.2846259686630221,0.44675236672628676,4,J. Azumah
00-0000872,0.336312893064151,0.2187120787031965,49,M.Bates
00-0001068,0.53009210084565,0.3761251703059923,3,J. Belser
00-0001098,0.4949184891302139,0.45829895057249825,4,B.Bennett
00-0001317,0.2731592121999715,-0.14239048794843234,2,W.Blackwell
00-0001388,0.8233331684023146,-0.6814536064630369,6,D.Bly
00-0001397,0.526881709694862,-2.7197026523645,1,O.Bobo
00-0001862,0.4231346004138082,1.0833837688357257,3,L.Broughton
00-0002058,0.48457416263409,0.0489589024800807,1,T. Brown
00-0002068,0.36056893615750596,0.743641314096751,2,T.Brown
00-0002123,-0.0151743664173409,0.0151743664173409,1,T.Bruschi
00-0002159,0.47557125276216544,0.24783889813988935,16,S.Bryson
00-0002257,0.025207118538674,0.318896242824849,1,T.Burke
00-0002380,-0.148694798350334,0.913394593633711,1,S.Bush
00-0002469,0.5790653581381776,0.30586470363195983,10,I.Byrd
00-0002565,0.27518628202960843,0.5595279053959525,2,D. Campbell
00-0002713,0.06616807519458234,1.0171024072915296,2,A.Carter
00-0002743,0.38652412037481565,0.31194491665883106,8,K.Carter
00-0003035,0.0004092217423021,1.02922254940495,1,D.Clark
00-0003136,0.5803244365961291,0.43964373072958557,8,M. Cloud
00-0003516,-0.016749438655097,0.0261603257094976,1,C.Cota
00-0004112,0.636197973974049,0.121759274625219,1,J.Dearth
00-0004200,0.38345092998572694,0.2975219767661124,29,A.Denson
00-0004388,0.637887817807496,0.586625094991177,1,K. Dogins
00-0004463,0.1875365931700799,0.23595725588529615,4,D.Douglas
00-0004634,0.2814706640434451,0.4377487463192664,20,D. Dunn
00-0004637,0.790775164263323,0.8827163421083255,2,J. Dunn
00-0004768,0.630950530059636,1.16236070310697,1,M.Edwards
00-0004780,0.33625317871553356,0.5179313940343157,27,T.Edwards
00-0004915,0.125298826314975,1.43283183308085,1,B.Engram
00-0005044,0.4314743255730716,0.2526789214374731,10,T.Fair
00-0005091,0.4580003905134757,0.48793235345951735,33,K.Faulk
00-0005092,0.0962756295339204,-0.160335223015863,1,M.Faulk
00-0005101,0.135977028636262,0.285383849870414,1,C.Fauria
00-0005229,0.0376916503009851,0.16119050598354068,3,J.Finn
00-0005296,0.0727341827005148,0.757714962121099,1,J.Flanigan
00-0005324,0.637887817807496,0.0335451546125114,1,T.Fletcher
00-0005562,0.312283547624247,1.2579627710802004,2,A.Freeman
00-0005816,0.231135830283165,0.949147883336991,1,O.Gary
00-0005932,0.28278644471608405,0.3693125169419759,26,D.Gibson
00-0006208,0.13185976670744518,0.688903362567847,3,J.Graham
00-0006562,0.0268403358350042,0.400408905261429,2,B.Gutierrez
00-0006927,0.48815768324913306,0.8725667232692316,13,C.Harris
00-0006930,-0.0558475707657635,0.980358100729063,1,D.Harris
00-0007254,0.2646662165643648,0.8415204397557933,6,W.Henderson
00-0007357,0.24746785122260911,0.45532093425572384,4,C.Hetherington
00-0007798,0.4840313003331082,0.4887504718463517,57,D.Howard
00-0007969,0.76034463243559,1.13078559841961,1,R.Huntley
00-0008156,0.3487556252844767,0.5922498088330036,7,L.Jackson
00-0008229,0.5916079060723707,0.3338829756603047,46,N.Jacquet
00-0008357,0.3038398213120302,0.17038954070256046,49,M.Jenkins
00-0008529,-0.0130045735859312,-0.624883244221564,1,J.Johnson
00-0008568,0.4265232089528583,0.8508701267419391,16,L.Johnson
00-0008598,-0.0640574381686746,-1.9586984504130691,2,P.Johnson
00-0008841,0.05473060057556722,1.0738035219910675,4,R.Jones
00-0008921,0.564747814554721,0.720860979985446,1,R. Jordan
00-0008941,0.029324293318495773,0.597352324250096,4,K.Joseph
00-0009288,0.4139323846809348,0.6380184725204808,53,T. Kirby
00-0009443,0.338117366559649,0.460419793399827,3,B.Kozlowski
00-0009829,0.3155952567176429,0.9147581583529246,16,D.Levens
00-0009869,0.26730663617521117,0.5224179584956802,48,J.Lewis
00-0010031,0.141064875293523,1.00190430507064,1,M.Logan
00-0010059,0.385416084900498,0.806721795815975,1,K.Long
00-0010240,0.52789158327505,0.47778058121912115,2,S.Mack
00-0010292,0.0236931135877967,0.66729019023478,1,J.Makovicka
00-0010381,0.4643884497398343,0.3355324294269929,22,B.Marion
00-0010500,0.34007482660372795,0.47313026469782915,34,D.Mason
00-0010632,0.3943376731961814,0.859198390166663,6,F.McAfee
00-0010645,0.0985356434539426,-0.0179887296108063,1,T.McBride
00-0010785,0.558854068629444,0.0982181024737656,1,E. McDaniel
00-0010951,0.389096699655056,0.883289198740386,1,D.McKinley
00-0011151,0.0167230457882397,-0.662527344247792,1,E.Metcalf
00-0011213,0.49733709408125554,-0.20565996802179018,6,G. Milburn
00-0011399,0.3613632591620376,0.6789946833506784,52,B.Mitchell
00-0011718,0.011347045695098834,0.3988314207332833,6,H.Morrow
00-0011727,0.0085130767256487,-0.0085130767256487,1,J.Morton
00-0011854,0.781663218937705,0.5522793797854859,17,Y.Murphy
00-0012229,0.1504499476286585,0.6136978344293316,2,C.Nwokorie
00-0012370,1.07822947856039,1.7866813398432,1,B.Olivo
00-0012569,0.0627454953501001,0.37838644371368,1,L. Parker
00-0012637,0.0207920433022082,0.61697877664119,1,J.Pathon
00-0012642,0.36326983897015475,0.3228735916782172,2,D.Patten
00-0012809,0.0541226034983995,-1.1423871063452695,2,E.Perry
00-0013013,0.2872717817469192,0.8787872945346556,6,M.Pittman
00-0013162,0.609346617711708,0.56906273518689,2,C. Powell
00-0013958,0.30461536698276187,0.3590607328868431,50,C.Rogers
00-0013995,0.0145841321791522,0.0,1,S.Rolle
00-0014071,0.4088781799177275,0.21395403996783496,28,A.Rossum
00-0014350,-0.017782642365394466,0.017528459279371102,3,O.Santiago
00-0014450,0.208616256946698,0.726340803084895,1,C.Schlesinger
00-0014655,0.3207953017554246,0.5731071049813173,4,M.Sellers
00-0014729,0.149991906539071,1.30343136773445,1,B.Shaw
00-0014918,0.9908826265018446,0.070173260057345,2,T.Simmons
00-0015152,0.180430164502468,1.21843046147842,1,D.Smith
00-0015362,0.0498841258231551,0.0181075295549817,1,M.Snider
00-0015420,0.500450007617474,0.657050635665655,1,J.Sowell
00-0015468,-0.0013675590162165,0.113811097864527,1,P.Spicer
00-0015477,0.695749390404671,0.903397741727531,1,G.Spires
00-0015601,0.2852218584157527,0.6794924266533388,13,A.Stecker
00-0015781,0.35075747332302865,0.1518839241907699,8,O. Stoutmire
00-0015781,0.35075747332302865,0.1518839241907699,8,O.Stoutmire
00-0015830,-9.75269358605146e-07,0.0917072787997313,1,M.Strong
00-0015980,0.3218714098948113,0.488086416792482,56,R.Swinton
00-0016373,0.20729832095094014,0.34267066690760367,3,D.Thompson
00-0016440,0.01785408428404483,-0.00319564181263559,5,J.Thrash
00-0017110,0.235001824854407,3.07260826788843,1,C.Walsh
00-0017239,0.6309052346817526,0.16426892268160972,6,D. Washington
00-0017279,0.497930881101638,1.61702801147476,1,T.Washington
00-0017299,0.051486860029399395,-0.4074911605333913,5,C.Watson
00-0017576,0.22425733529962602,0.49390906444750704,2,S.White
00-0017585,0.35870587266981596,0.9756648540496835,2,W.Whitehead
00-0017697,0.4186108556611792,0.3779905524973978,44,T.Wilkins
00-0017847,0.29321021295618277,-1.9117214187281206,2,K.Williams
00-0018382,0.36979180771921744,0.5729911126947059,29,C.Yeast
00-0018579,0.411170062841848,1.17165233840933,1,R. Newkirk
00-0018587,0.10473212983924894,0.40067439430276874,4,D.Morgan
00-0018958,0.49201347407264023,0.8515692653600134,9,L.Coles
00-0018964,0.5822432660822163,0.4412862921689953,61,D.Vaughn
00-0018970,-0.0086948725220281,0.0478462847240735,2,R.Meier
00-0019025,0.2715045147663754,0.7775479448855864,58,R.Jenkins
00-0019028,0.6267488731537013,0.45918725764689516,3,H.Goodman
00-0019038,0.23215829865710644,0.3092703199892473,11,C.Coleman
00-0019054,0.994576514698565,-0.136582198552787,1,T.Insley
00-0019057,0.280375080525927,0.43777900326596086,9,J.White
00-0019062,0.0563729554414749,0.964007368776947,1,J.Moreland
00-0019093,0.574701137375087,1.22313364688307,1,C.Crawford
00-0019100,-0.0123861749307252,0.0123861749307252,1,B.Hoover
00-0019172,0.3278802574786826,0.9814207417584839,4,B.Johnson
00-0019231,0.35248031405434505,0.18300206226801202,9,L.Foster
00-0019238,0.6397072097752246,0.546077300328761,2,J.Lewis
00-0019255,0.24964081752113998,0.23572460911236723,2,C.Jackson
00-0019268,0.7757591193512786,0.5196689303556924,16,K.McDougal
00-0019423,0.489420210709795,0.466619934421033,1,J.Brookins
00-0019459,0.361420845612884,1.02523733489215,1,D.Walker
00-0019466,0.3305961395083052,0.4400345232023114,42,C.Keaton
00-0019473,0.4590721368440425,1.055037527607058,2,D.Dyer
00-0019487,0.3839402877704494,0.3834904818848536,22,F.Murphy
00-0019491,0.4464443884272544,0.2945920056922151,9,J.Williams
00-0019533,0.30737927078735094,0.6670194148623738,21,P.Pass
00-0019534,0.5046982888597998,0.33655853359960025,4,R.Mealey
00-0019539,0.27236586351212944,0.31501207930079234,43,D. Hall
00-0019547,0.33594428885029637,0.3732833410636525,25,A.Black
00-0019552,0.5680919813457881,0.327718497978317,18,T.Walters
00-0019576,0.09812650423555185,0.2264727102592589,2,M.Green
00-0019590,0.1990177981308936,0.7457903642926422,17,C.Morton
00-0019600,0.5800918798940986,0.4701363487829441,32,M.Lewis
00-0019609,1.07822947856039,-0.662216478493065,1,T.Prentice
00-0019614,0.40887097211089,0.083065463928506,4,M.Wiley
00-0019631,0.589911183807999,0.599964817520231,1,K.Larrimore
00-0019649,0.5483492675498507,0.22241471383903105,37,T.Canidate
00-0019650,0.657970763277262,2.02451960230246,1,D.Northcutt
00-0019659,0.465034740511328,1.25176697806455,1,E.Kinney
00-0019661,0.2734308956320699,0.26761824907892645,48,C.Cole
00-0019662,0.3372535243808457,-0.029989705629893455,34,R. Dixon
00-0019662,0.3372535243808457,-0.029989705629893455,34,R.Dixon
00-0019671,0.0116265313699842,1.06796915456653,1,L.Carson
00-0019673,0.4015018622594655,-0.3579942291835321,4,P.Smith
00-0019710,0.2892515186103994,0.22200402074668066,16,H.Poteat
00-0019711,0.28250020280081245,0.09562134331957055,7,B.Kelly
00-0019722,0.3210305753163995,0.2647856376133859,2,J.Redmond
00-0019794,0.2118035306339151,-0.013617585034808255,4,A.Cason
00-0019825,0.538026253227145,0.522940081194975,1,J.Whitman
00-0019863,0.6459332019689368,0.5865416997777564,14,D.Rhodes
00-0019889,0.3003775843501312,0.6442598785643521,17,E.Joseph
00-0019913,0.0205425340682268,0.625024575274438,1,R.Prince
00-0019976,0.0024162179033737,0.497877775778761,1,D.Bennett
00-0019991,0.4342099460385123,0.3754796936021496,3,J.Walker
00-0020018,0.5717703548725694,0.18459268857259295,2,A.Jackson
00-0020022,0.2438295753187655,0.6913397146612023,6,M.Shipp
00-0020055,0.0025611678429413,0.0401710231672041,1,D.Evans
00-0020187,0.609511794056743,0.704252203460783,1,M. Rivers
00-0020256,0.479282476939261,0.5492404459842609,14,K.Kasper
00-0020260,1.10741430753842,0.729997731745243,1,R.Garza
00-0020270,-0.013741587754339,0.013741587754339,1,C.Buckhalter
00-0020273,0.3442519766580187,0.5206816393395208,55,V.Sutherland
00-0020285,0.6009401993796933,0.5653328421224916,3,A.Crumpler
00-0020328,0.182234591571614,0.740144390845671,1,J.Boyd
00-0020336,0.4727590803855231,0.22291202237829624,7,T.Driver
00-0020337,0.38892905532910477,0.5097543364640195,56,S.Smith
00-0020340,0.6506908473093065,-0.10559173498768373,2,Q.McCord
00-0020343,0.4913182512100321,0.4236426874704192,8,J.Carter
00-0020352,0.0241194372065365,1.60027706064284,1,J.Henderson
00-0020381,0.3088029106147586,0.3871499635861258,4,J.McCareins
00-0020385,0.4375809480698082,-0.1850367298902715,16,D.Smith
00-0020407,0.06565369543386626,0.1398352395772235,4,Ru. Johnson
00-0020415,0.27413965434451326,0.6409403893630948,14,A.King
00-0020417,0.36646336449674616,0.32190257343261147,23,B.Gay
00-0020425,0.6228599478490655,-0.11269077705219399,2,K.Rambo
00-0020427,0.13024607154407686,-0.15721352074095818,7,Q.Morgan
00-0020428,-0.063431306509301,0.48199959634803197,2,R.Ferguson
