kickoff_returner_player_id,avg_ep,avg_epa,return_count,kickoff_returner_player_name
00-0029892,1.03031229507178,0.84983844961971,1,K.Juszczyk
00-0030578,0.9943754553761598,-0.21858346806506465,7,C.Patterson
00-0030968,0.906941921450198,-0.764531811699271,1,K.Smith
00-0031376,1.14761075330898,-0.339254894061014,1,J.McKinnon
00-0031484,0.0116547724755947,-0.0018881766009144,1,C.Manhertz
00-0031763,1.281904198562684,-0.21389096091628426,11,D.Carter
00-0032200,1.0137441947719918,-0.22509466669160036,9,T.Montgomery
00-0032398,1.2668447380737313,0.05415259555659499,11,C.Moore
00-0032464,0.996523094247095,0.0,1,K.Raymond
00-0032543,1.53882524976507,0.0,1,A.Erickson
00-0032775,0.914824151899666,-0.393731298856437,1,D.Robinson
00-0033357,1.84128398401663,0.472832172177732,1,T.Hill
00-0033466,1.1565531829837712,0.17849966870959535,11,I.McKenzie
00-0033566,1.255991099867972,-0.4298028692137442,5,D.King
00-0033572,0.9902195086275852,0.10986723753546089,15,J.Agnew
00-0033793,1.4740977678448,0.0,1,C.Levin
00-0033854,1.46264557330869,-0.159934253897518,1,D.Ogunbowale
00-0033856,1.07964894967154,-0.58886895282194,1,L.Fournette
00-0034208,0.9828839054680435,-0.7281883954419756,4,M.Boone
00-0034286,1.0654593608596772,0.030487133142742102,16,R.James
00-0034297,0.9441961646403393,-0.5492900494427889,9,B.Pringle
00-0034407,0.9716755869133821,-0.25083202754952566,12,R.McCloud
00-0034414,1.0800515920855112,-0.34726787841646006,14,B.Scott
00-0034419,0.9549072163764246,-0.005074902957527582,22,B.Berrios
00-0034614,1.1142566972533448,0.02994706975247637,12,G.Igwebuike
00-0034843,1.3089899467304367,-0.4784165218782923,3,M.Hughes
00-0034928,0.8242502072826035,-0.21089483783580362,5,S.Sims
00-0034959,1.1684640171006344,3.2725231028161943,2,A.Beck
00-0034975,1.3075085178328065,1.3077906518786524,3,J.Hill
00-0034983,0.590108367148787,1.22523717320291,1,H.Renfrow
00-0035125,1.12044353294186,0.773846385767683,1,A.Ingold
00-0035133,1.0627506722466942,0.02684086947010636,32,K.Nixon
00-0035140,0.17763965803897,-0.170273376628757,1,M.Hardman
00-0035208,1.0730139478691858,-0.08363702939823275,4,O.Zaccheaus
00-0035215,1.3198625462828233,-0.035819317252995996,3,D.Harty
00-0035250,1.56289265572559,-0.21589754906017272,4,D.Singletary
00-0035291,1.1131916016383918,-0.0015013652082411326,12,T.Williams
00-0035298,0.175940025859745,-0.175940025859745,1,S.Miller
00-0035341,0.0517033810901921,-0.0517033810901921,1,T.Irwin
00-0035500,0.9356207675951091,-0.06890175490544201,17,G.Dortch
00-0035527,1.0731262706685811,0.257267022971064,2,A.Isabella
00-0035537,1.0395910328952587,-0.4014452055562288,8,T.Johnson
00-0035567,1.2610085575841374,-1.0443373159039777,5,C.Reynolds
00-0035628,1.157900756823698,-0.23076691641472286,7,D.Johnson
00-0035639,0.8825521257786015,-0.16022986863026786,8,P.Campbell
00-0035645,1.364685266802555,0.022788666596170015,4,G.Olszewski
00-0035657,1.04592840233818,1.44160424126312,1,D.Harris
00-0035719,1.194807441007079,-0.22286263916508428,7,D.Samuel
00-0035876,0.28052507765824,-0.28052507765824,1,A.Baccellia
00-0036087,0.803229600191116,-0.446873468579724,1,M.Bryant
00-0036124,1.2627623607986604,-0.08265180274611338,12,K.Dorsey
00-0036133,0.8432987346313895,-0.1383817004971205,2,J.Proche
00-0036139,0.7112228761786047,-0.16706274799556317,6,R.Dowdle
00-0036145,0.0362581372901332,-0.0362581372901332,1,L.Cager
00-0036231,0.652654617093504,0.0,1,K.Dugger
00-0036244,0.0397621275042184,0.0006635370664298,1,C.Parkinson
00-0036268,1.0881412580686927,0.06022095354273915,6,L.Shenault
00-0036271,0.796151897870004,0.107236547279172,1,Q.Watkins
00-0036290,0.657027735956945,-0.657027735956945,1,C.Kmet
00-0036306,0.864139622310177,0.755942618008703,1,D.Thomas
00-0036328,0.9874695802739419,0.014240915907846236,14,A.Gibson
00-0036331,1.153540634930445,-0.17578075989149486,15,D.Duvernay
00-0036336,1.0467237288581326,0.11366202224079267,7,A.McFarland
00-0036364,1.7297319830395266,0.02723191880310594,3,L.Bowden
00-0036370,0.346637489565183,-0.0202566378284246,1,J.Kelley
00-0036387,1.0440531201477694,0.7235822629549414,7,J.Reagor
00-0036425,0.9534557342378643,0.22946759579730647,17,D.Dallas
00-0036620,0.9632858711411245,0.34168969878373834,8,D.Eskridge
00-0036628,0.097159952041693,-0.097159952041693,1,J.Bates
00-0036630,0.770222366787493,0.359188962727785,1,T.Wallace
00-0036841,1.1323105583366928,-0.024579254979140708,22,A.Trammell
00-0036842,1.2663970950234225,-0.3154286320750541,16,K.Nwangwu
00-0036857,0.845495757879689,-0.004275874700397031,2,C.Evans
00-0036877,1.42541929311119,-0.2276438425760715,2,J.Darden
00-0036919,1.2013188647106292,-0.183301640752082,3,K.Gainwell
00-0036936,1.01743780006655,0.0,1,R.Moore
00-0036963,0.30275054636877,1.50143008725718,1,A.St. Brown
00-0037034,1.1610849681310356,0.5145211339695375,2,D.Alford
00-0037039,1.08945481944829,-0.679189130663872,1,D.Allen
00-0037132,1.21144795930013,0.774178374093026,1,B.Covey
00-0037157,1.55674732103944,-0.342553750611842,1,Z.Knight
00-0037228,0.8394069229252634,0.173829789273441,2,J.Warren
00-0037247,0.697179264388979,1.0457040228066,1,G.Pickens
00-0037258,1.3950729345233415,0.7482565471436824,8,D.Pierce
