kickoff_returner_player_id,avg_ep,avg_epa,return_count,kickoff_returner_player_name
00-0030431,1.255025256145747,-0.052797969384118924,5,R.Woods
00-0030578,0.9829637065728702,0.05655982839865229,12,C.Patterson
00-0031687,0.39446386726922344,-0.18929276193375688,2,R.Mostert
00-0031763,1.0962313412339424,0.3374464027273156,15,D.Carter
00-0032104,1.0946608526218267,0.7152183182770383,9,A.Abdullah
00-0032464,1.66302630817518,-0.1730263902572915,2,K.Raymond
00-0032543,1.1384026690502647,0.05053744080942113,4,A.Erickson
00-0033357,1.92754252091981,0.843181737465784,1,T.Hill
00-0033526,1.142846597436196,0.6124724500114094,6,S.Perine
00-0033555,1.10221939906478,4.67469777876977,1,M.Hollins
00-0033699,0.9286482281095234,0.40183073040534556,20,A.Ekeler
00-0033854,1.40989282680675,-0.519207615405321,1,D.Ogunbowale
00-0033925,1.1937222846318047,-0.1875272561330345,5,D.Foreman
00-0033948,1.091110788391565,0.08633795141411776,11,Ja.Williams
00-0033955,1.2449254031234895,-0.46498767939920077,8,J.McNichols
00-0034278,0.9778514589914789,0.06778474015716004,7,T.Smith
00-0034407,1.2489968492508137,-0.4701828505411482,14,R.McCloud
00-0034419,0.9183017725590611,0.2032280803347628,3,B.Berrios
00-0034789,1.02945330669172,2.56653104297584,1,M.Fitzpatrick
00-0034808,1.152630944154223,-0.320888025104068,2,J.Kelly
00-0034860,1.2798483285587305,0.520994414963449,3,D.Pettis
00-0034928,0.9432495958837018,0.227135172097145,7,S.Sims
00-0034975,1.015212697256358,0.8614143154583879,5,J.Hill
00-0035021,1.2525021845940507,0.7564359825628351,4,A.Dulin
00-0035133,0.9367064537681561,-0.10811055824292866,22,K.Nixon
00-0035140,1.1708630749490136,-0.2634743304457515,5,M.Hardman
00-0035164,1.08027859614231,-0.506662920350209,1,C.Thompson
00-0035215,0.8444256497969025,-0.07664195320830902,4,D.Harty
00-0035243,1.59360034763813,-0.555526709184051,1,M.Sanders
00-0035291,0.9524008549284192,-0.2991047193761912,5,T.Williams
00-0035311,0.8843877672528215,-0.0777926713538666,3,M.Gaskin
00-0035500,0.9592530939096051,0.010203954697187434,7,G.Dortch
00-0035537,1.0735560266434085,0.49890703332078185,7,Ty.Johnson
00-0035544,1.2715773673262443,0.2862218747225898,6,T.Kennedy
00-0035567,1.175195283151699,0.044424912484828286,5,C.Reynolds
00-0035594,1.11493333429098,0.275708034168929,1,T.Homer
00-0035633,1.4740977678448,0.534758311230689,1,C.Ballentine
00-0035719,0.9929007616438502,-0.011094678290914166,17,D.Samuel
00-0035806,1.1600142648851042,-0.03328590782475656,10,J.Hasty
00-0035973,0.9503307430713914,0.22505151873338047,4,P.Taylor
00-0036124,1.2847007577074683,0.921331802936038,4,K.Dorsey
00-0036133,1.0043925230274906,1.124103038600881,2,J.Proche
00-0036222,1.1970413834981948,0.27853816985346697,12,I.Rodgers
00-0036268,1.0928274468406016,-0.19707765488601522,16,L.Shenault
00-0036287,0.653761696536094,-0.0254686893895268,1,N.Igbinoghene
00-0036328,0.9670445885826149,0.12366732138454783,9,A.Gibson
00-0036331,1.0661934323309523,0.10827425184002741,14,D.Duvernay
00-0036387,1.84128398401663,-0.0042223716154694,1,J.Reagor
00-0036414,1.8449527817623066,0.07396309621011213,3,C.Akers
00-0036425,1.085852506510492,0.743645143027607,16,D.Dallas
00-0036497,0.5074954854790124,0.0299091632477939,2,T.Jones
00-0036527,1.0620298701105644,0.1878309228923174,4,D.Turner
00-0036569,1.072132404195145,-0.1923239370808003,2,G.Brightwell
00-0036620,0.9307577256462549,0.03204868115717552,5,D.Eskridge
00-0036635,1.0268144635748213,0.7771415236056779,11,I.Smith-Marsette
00-0036842,1.1662066041802388,2.0596283344396693,3,K.Nwangwu
00-0036877,1.231026290804783,0.19433982754972853,11,J.Darden
00-0036906,1.3368387844529925,0.5148546502459792,4,K.Herbert
00-0036919,0.8706880703142489,0.14655909885848162,22,K.Gainwell
00-0036950,1.2373593460147572,0.2808205108701563,15,A.Williams
00-0036984,1.04558730544522,0.381016432307661,1,T.Sermon
00-0037091,1.4740977678448,-0.789584203157574,1,B.Melton
00-0037120,0.826580008951067,-0.14982612673581278,9,T.Goodson
00-0037129,1.4740977678448,0.334336075466126,1,J.Blackwell
00-0037228,1.0443642672746343,0.10803431966471384,9,J.Warren
00-0037256,1.1866112344044577,0.05377272023664153,3,R.White
