kickoff_returner_player_id,avg_ep,avg_epa,return_count,kickoff_returner_player_name
0,0.173702246975154,-0.608083469327539,1,
00-0000007,-0.344350839499384,-0.721886637853459,1,R.Abdullah
00-0000279,0.441446812823415,-0.483497362118214,1,K.Anders
00-0000387,0.448184118322388,0.4994731532497091,4,R.Anthony
00-0000745,0.170820844126865,1.28615952446125,1,T.Barber
00-0000765,0.19588000360156685,0.39112260872339405,11,R.Barlow
00-0000872,0.37879518584564476,0.40652255383680486,42,M.Bates
00-0000883,0.637887817807496,0.582660655025393,1,M.Battaglia
00-0000911,0.659487037919462,1.36886911117472,1,F.Baxter
00-0001114,0.0791281517012976,0.560255237563979,1,T.Bennett
00-0001222,3.65710002370179e-06,0.0619796284008771,1,E.Beverly
00-0001317,0.26676555694430143,1.2550350753881498,10,W.Blackwell
00-0001388,0.5051249105017628,-0.19441635485014208,9,D.Bly
00-0001563,0.617831338196993,0.714516624808312,1,D.Bowens
00-0001582,0.2942483135654282,0.8200680854497477,3,F.Bownes
00-0001676,0.4534738217480485,0.8865455372724669,2,C.Branch
00-0001862,0.657323084771633,1.87769447569735,1,L.Broughton
00-0001896,-0.0144822945585474,0.0144822945585474,1,C.Brown
00-0002027,0.5955251209088606,0.8449356706696565,2,R.Brown
00-0002068,0.0204363273660419,0.038161397023941404,2,T.Brown
00-0002123,-0.008038973188376949,0.10694431875890581,2,T.Bruschi
00-0002159,0.2773372024364239,0.26302504080480765,7,S.Bryson
00-0002266,-0.148694798350334,0.627182834316045,1,D.Burks
00-0002286,0.676521881949157,0.735388586297631,1,C.Burnett
00-0002380,0.3816511900610446,0.635608298985365,3,S.Bush
00-0002459,0.27326958825142356,0.4732172370762176,12,K.Bynum
00-0002469,0.34405651753250943,0.489873179713161,9,I.Byrd
00-0002586,0.14140979394627098,0.6262142335763203,3,M.Campbell
00-0002709,-0.148694798350334,0.627182834316045,1,D.Carswell
00-0002713,0.675063252914697,0.90944645088166,1,T.Carter
00-0002748,1.0808182284236,-1.01229609549046,1,M.Carter
00-0002861,0.18740894597916247,0.6524752652233773,3,B.Chamberlain
00-0003136,0.3548527182251242,0.4952056300794031,36,M.Cloud
00-0003142,0.637887817807496,0.931415858212858,1,B.Coates
00-0003175,0.603345094248653,-0.0845818570815027,1,M.Cody
00-0003344,0.051202633156208356,0.16734260942030246,2,G.Comella
00-0004073,0.472845206968486,2.28091451164801,1,B.Dawkins
00-0004200,0.30735820225284755,0.4451328561068905,24,A.Denson
00-0004294,0.0095372867654077,0.0483077114913613,1,K.Dilger
00-0004463,0.41627683605959936,1.2355513060562462,3,D.Douglas
00-0004633,0.549589470261708,0.01024145912379,2,D.Dunn
00-0004634,0.34284806975483667,0.6140601326375573,48,D.Dunn
00-0004673,0.4766324713928046,0.16770280021592035,32,T.Dwight
00-0004768,0.552286995109171,1.71251745289192,1,M.Edwards
00-0004780,0.41976368181446283,0.1883289980023009,15,T.Edwards
00-0004916,0.4231037045829,0.9211452843155721,2,C.Enis
00-0005044,0.9173157534096393,-0.3480678508058195,6,T.Fair
00-0005091,0.3178631530199956,0.3092401181135289,37,K.Faulk
00-0005092,0.0786489765741862,0.0259971265913919,1,M.Faulk
00-0005101,0.611127628944814,1.75300692627206,1,C.Fauria
00-0005231,0.0300369142205454,0.670226632268168,1,B.Finneran
00-0005322,1.07822947856039,0.414648261852562,1,L.Fletcher
00-0005432,0.0276297645177692,0.0427776043361519,1,T.Fordham
00-0006034,-0.0393731707396606,0.15910926026602598,3,A.Glenn
00-0006133,0.18674427748192082,0.31161584943765774,2,H.Goodwin
00-0006148,0.734962476883084,1.60207992559299,1,D.Gordon
00-0006202,0.162630546838045,0.722495999187231,1,D.Graham
00-0006331,0.3361702404217795,0.440025572199373,2,J.Green
00-0006431,0.2215629098645879,0.3919947062822753,8,D.Griffin
00-0006627,0.735493400134146,-0.85068730590865,1,A.Hakim
00-0006708,0.0198772428557277,0.376208771485835,1,B.Hamilton
00-0006927,0.37387066814144876,0.47520801093473686,42,C.Harris
00-0007103,0.787058220012114,1.31215261603938,1,M.Hatchette
00-0007186,0.261995284585282,0.313920633401722,1,R.Heath
00-0007254,0.37646190654486444,1.2686256914399556,5,W.Henderson
00-0007357,0.3104941456113012,1.179886620375325,2,C.Hetherington
00-0007389,0.637887817807496,0.45547527493909,1,S.Hicks
00-0007468,0.411068603862077,0.711851996020414,1,I.Hilliard
00-0007661,0.304549507098272,0.17374701006338,1,P.Holmes
00-0007667,1.38017378561199,0.900464478647336,1,B.Holsey
00-0007749,0.5696576334828996,0.35824633291039976,62,T.Horne
00-0007798,0.4998673493019103,0.4789949360680398,57,D.Howard
00-0008059,0.310024960897863,0.882504285778848,2,Q.Ismail
00-0008156,0.3088381691809952,0.23175738879945135,9,L.Jackson
00-0008196,0.607256854185835,0.642420433927327,1,T.Jackson
00-0008225,0.636902438243851,0.628367594792508,1,K.Jacox
00-0008357,0.3316422408878259,0.6027780250637657,82,M.Jenkins
00-0008391,0.5481479457521347,0.7430351323127975,8,T.Jervey
00-0008529,0.6507036194670945,-0.007116586202755515,2,J.Johnson
00-0008568,0.10358118504518643,0.4773824758400833,6,L.Johnson
00-0008761,0.071488514833618,1.35687892470742,1,H.Jones
00-0008841,0.0727683925069869,0.369273688644171,1,R.Jones
00-0008941,0.21203242816651868,0.9125921480202432,3,K.Joseph
00-0008962,0.279752298258245,2.68944681773428,1,J.Jurevicius
00-0009038,0.3898225764440013,0.2530116004345477,9,N.Kaufman
00-0009443,0.5071416608656617,0.812765189130525,7,B.Kozlowski
00-0009550,0.514066462637857,1.2559113522875114,2,D.LaFleur
00-0009811,0.0019468275713734,0.0488185092108324,1,E.Leroy
00-0009833,0.3108415193606303,0.26930478036436983,7,B.Levingston
00-0009869,0.01922139983313779,1.848732692616372,6,J.Lewis
00-0009960,0.49647142676015704,0.758059700019658,3,J.Linton
00-0009971,0.25616166857071254,-0.177646994125098,2,E.Little
00-0010240,0.5577664982217055,0.28620704137332104,6,S.Mack
00-0010243,0.2799926870665514,0.42079766520299017,50,T.Mack
00-0010381,0.3773340545507384,0.505630815390032,20,B.Marion
00-0010500,0.2583815502681926,0.6593041433286595,45,D.Mason
00-0010535,0.5695806473506508,-0.2994367291103106,9,K.Mathis
00-0010632,0.7049869927461265,0.2898015777172988,20,F.McAfee
00-0010951,-0.0138572748110164,0.0138572748110164,1,D.McKinley
00-0010970,0.0093822656781412,0.305307942326181,1,R.McKinnon
00-0011213,0.3841147656221727,0.3170513255957749,63,G.Milburn
00-0011224,0.420543754007667,1.77472288964782,1,I.Mili
00-0011236,0.237273883307353,-0.0889444039203227,1,B.Miller
00-0011392,0.049235925078392,0.127956226555398,1,B.Mitchell
00-0011399,0.3036523915287482,0.7002848567392234,53,B.Mitchell
00-0011634,0.0278754336759448,0.811764098703861,1,S.Moran
00-0011718,0.910914302803576,0.582766870502383,1,H.Morrow
00-0011729,0.591190850827843,0.743591621285304,1,M.Morton
00-0011796,0.9359903861768545,0.14063278050161912,2,M.Muhammad
00-0011869,0.1165914278293108,0.2232054973210326,12,A.Murrell
00-0011958,0.472305319737643,0.647441680077463,1,L.Neal
00-0012135,0.559657611884177,0.375932392198592,1,B.Noble
00-0012321,0.173702246975154,0.458209848962724,1,J.Ogden
00-0012333,-0.0154331425146665,0.0154331425146665,1,C.Okeafor
