play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
40,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,900.0,1800.0,Half1,15:00,ARI 35,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.4740977678448,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
451,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,562.0,1462.0,Half1,09:22,ARI 35,5-M.Prater kicks 59 yards from ARI 35 to TEN 6. 80-C.Rogers to TEN 20 for 14 yards (33-A.Hamilton).,kickoff,59.0,1.71517674485222,-0.417315462604165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C.Rogers,00-0032355,,,M.Prater,00-0023853,,,TEN,14.0,,,,,,Home
701,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,491.0,1391.0,Half1,08:11,ARI 35,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.51892727729864,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
1385,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,659.0,659.0,Half1,10:59,ARI 35,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.21141126612201,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
1688,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,ARI,away,TEN,TEN,35.0,2021-09-12,410.0,410.0,Half1,06:50,TEN 35,"8-M.Badgley kicks 65 yards from TEN 35 to end zone, Touchback.",kickoff,65.0,1.09131275257096,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Badgley,00-0034084,,,ARI,0.0,,,,,,Home
2030,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,40.0,2021-09-12,104.0,104.0,Half1,01:44,ARI 40,"5-M.Prater kicks 60 yards from ARI 40 to end zone, Touchback.",kickoff,60.0,0.68134133098647,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
2411,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,ARI,away,TEN,TEN,35.0,2021-09-12,900.0,1800.0,Half2,15:00,TEN 35,"8-M.Badgley kicks 61 yards from TEN 35 to ARI 4. 4-R.Moore pushed ob at ARI 29 for 25 yards (92-O.Adeniyi). PENALTY on ARI-29-J.Ward, Offensive Holding, 10 yards, enforced at ARI 26.",kickoff,61.0,0.770222366787493,-0.619091026019305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R.Moore,00-0036936,,,M.Badgley,00-0034084,,,ARI,22.0,ARI,00-0035924,J.Ward,10.0,Offensive Holding,Home
2594,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,ARI,away,TEN,TEN,35.0,2021-09-12,775.0,1675.0,Half2,12:55,TEN 35,"8-M.Badgley kicks 65 yards from TEN 35 to end zone, Touchback.",kickoff,65.0,0.887057376094163,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Badgley,00-0034084,,,ARI,0.0,,,,,,Home
2818,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,640.0,1540.0,Half2,10:40,ARI 35,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.72625879431143,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
3286,2021_01_ARI_TEN,2021091207,TEN,ARI,REG,1,TEN,home,ARI,ARI,35.0,2021-09-12,186.0,1086.0,Half2,03:06,ARI 35,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.69751046109013,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,M.Prater,00-0023853,,,TEN,0.0,,,,,,Home
40,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,900.0,1800.0,Half1,15:00,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,1.84128398401663,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,LV,0.0,,,,,,Home
816,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,107.0,1007.0,Half1,01:47,BAL 35,9-J.Tucker kicks 63 yards from BAL 35 to LV 2. 11-H.Ruggs to LV 15 for 13 yards (41-A.Levine).,kickoff,63.0,1.66388537548482,-0.702927757054567,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,H.Ruggs,00-0036357,,,J.Tucker,00-0029597,,,LV,13.0,,,,,,Home
1329,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,532.0,532.0,Half1,08:52,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,1.46170368837193,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,LV,0.0,,,,,,Home
1619,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,BAL,away,LV,LV,35.0,2021-09-13,254.0,254.0,Half1,04:14,LV 35,"2-D.Carlson kicks 65 yards from LV 35 to end zone, Touchback.",kickoff,65.0,1.21008901065215,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,D.Carlson,00-0034161,,,BAL,0.0,,,,,,Home
2141,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,BAL,away,LV,LV,35.0,2021-09-13,900.0,1800.0,Half2,15:00,LV 35,"2-D.Carlson kicks 65 yards from LV 35 to end zone, Touchback.",kickoff,65.0,1.00825135828927,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,D.Carlson,00-0034161,,,BAL,0.0,,,,,,Home
2630,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,504.0,1404.0,Half2,08:24,BAL 35,9-J.Tucker kicks 65 yards from BAL 35 to LV 0. 11-H.Ruggs to LV 20 for 20 yards (30-C.Westry).,kickoff,65.0,1.70760093443096,-0.396785303018987,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,H.Ruggs,00-0036357,,,J.Tucker,00-0029597,,,LV,20.0,,,,,,Home
3442,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,BAL,away,LV,LV,35.0,2021-09-13,558.0,558.0,Half2,09:18,LV 35,"2-D.Carlson kicks 65 yards from LV 35 to end zone, Touchback.",kickoff,65.0,1.16569466120563,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,D.Carlson,00-0034161,,,BAL,0.0,,,,,,Home
3604,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,364.0,364.0,Half2,06:04,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,1.27227154141292,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,LV,0.0,,,,,,Home
3878,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,BAL,away,LV,LV,35.0,2021-09-13,224.0,224.0,Half2,03:44,LV 35,"2-D.Carlson kicks 65 yards from LV 35 to end zone, Touchback.",kickoff,65.0,0.91189364111051,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,D.Carlson,00-0034161,,,BAL,0.0,,,,,,Home
4151,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,37.0,37.0,Half2,00:37,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,0.495512347435579,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,LV,0.0,,,,,,Home
4277,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,BAL,away,LV,LV,35.0,2021-09-13,2.0,2.0,Half2,00:02,LV 35,"2-D.Carlson kicks 65 yards from LV 35 to end zone, Touchback.",kickoff,65.0,0.0943243637448177,-0.0943243637448177,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,D.Carlson,00-0034161,,,BAL,0.0,,,,,,Home
4332,2021_01_BAL_LV,2021091300,LV,BAL,REG,1,LV,home,BAL,BAL,35.0,2021-09-13,600.0,600.0,Overtime,10:00,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,1.53340173023753,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,LV,0.0,,,,,,Home
42,2021_01_CHI_LA,2021091213,LA,CHI,REG,1,CHI,away,LA,LA,35.0,2021-09-12,900.0,1800.0,Half1,15:00,LA 35,8-M.Gay kicks 72 yards from LA 35 to CHI -7. 24-K.Herbert pushed ob at CHI 43 for 50 yards (24-T.Rapp).,kickoff,72.0,1.00825135828927,1.17677529924549,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Herbert,00-0036906,,,M.Gay,00-0035269,,,CHI,50.0,,,,,,Home
334,2021_01_CHI_LA,2021091213,LA,CHI,REG,1,CHI,away,LA,LA,35.0,2021-09-12,636.0,1536.0,Half1,10:36,LA 35,"8-M.Gay kicks 65 yards from LA 35 to CHI 0. 24-K.Herbert to CHI 24 for 24 yards (24-T.Rapp, 34-J.Funk).",kickoff,65.0,0.797406194265932,-0.199292605742812,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Herbert,00-0036906,,,M.Gay,00-0035269,,,CHI,24.0,,,,,,Home
