play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
69,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,CHI,home,ATL,ATL,30.0,2011-09-11,896.0,1796.0,Half1,14:56,ATL 30,5-M.Bosher kicks 70 yards from ATL 30 to CHI 0. 23-D.Hester to CHI 23 for 23 yards (44-J.Snelling).,kickoff,70.0,0.822394314687699,0.160477776546031,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,M.Bosher,00-0028130,,,CHI,23.0,,,,,,Home
351,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,598.0,1498.0,Half1,09:58,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.143844066187739,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,ATL,0.0,,,,,,Home
664,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,CHI,home,ATL,ATL,35.0,2011-09-11,324.0,1224.0,Half1,05:24,ATL 35,"5-M.Bosher kicks 64 yards from ATL 35 to CHI 1. 23-D.Hester to CHI 28 for 27 yards (34-O.Mughelli). PENALTY on CHI-20-C.Steltz, Offensive Holding, 8 yards, enforced at CHI 17.",kickoff,64.0,0.810822270344943,-0.670554862823337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,M.Bosher,00-0028130,,,CHI,16.0,CHI,00-0026260,C.Steltz,8.0,Offensive Holding,Home
983,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,70.0,970.0,Half1,01:10,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.170645474921912,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,ATL,0.0,,,,,,Home
1436,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,522.0,522.0,Half1,08:42,CHI 35,9-R.Gould kicks 70 yards from CHI 35 to ATL -5. 14-E.Weems to ATL 15 for 20 yards (21-C.Graham).,kickoff,70.0,0.611224239924923,-0.443037485936657,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Weems,00-0024535,,,R.Gould,00-0023252,,,ATL,20.0,,,,,,Home
2030,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,55.0,55.0,Half1,00:55,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.371792904566973,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,ATL,0.0,,,,,,Home
2222,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,900.0,1800.0,Half2,15:00,CHI 35,"9-R.Gould kicks 66 yards from CHI 35 to ATL -1. 14-E.Weems to ATL 12 for 13 yards (58-D.DeCicco; 21-C.Graham). PENALTY on ATL-81-M.Palmer, Offensive Holding, 6 yards, enforced at ATL 12.",kickoff,66.0,0.0103581324219704,-0.856960527598858,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Weems,00-0024535,,,R.Gould,00-0023252,,,ATL,13.0,ATL,00-0027202,M.Palmer,6.0,Offensive Holding,Home
2532,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,CHI,home,ATL,ATL,35.0,2011-09-11,613.0,1513.0,Half2,10:13,ATL 35,"5-M.Bosher kicks 63 yards from ATL 35 to CHI 2. 23-D.Hester pushed ob at CHI 24 for 22 yards (71-K.Biermann). PENALTY on CHI-21-C.Graham, Illegal Block Above the Waist, 8 yards, enforced at CHI 16.",kickoff,63.0,0.893292298540473,-0.869629991240799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,M.Bosher,00-0028130,,,CHI,14.0,CHI,00-0025555,C.Graham,8.0,Illegal Block Above the Waist,Home
2795,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,415.0,1315.0,Half2,06:55,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.19513520412147,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,ATL,0.0,,,,,,Home
2905,2011_01_ATL_CHI,2011091105,CHI,ATL,REG,1,ATL,away,CHI,CHI,35.0,2011-09-11,358.0,1258.0,Half2,05:58,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.237133264774457,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,ATL,0.0,,,,,,Home
