play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
36,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,BUF,away,CHI,CHI,35.0,2014-09-07,900.0,1800.0,Half1,15:00,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.239784771110863,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,BUF,0.0,,,,,,Home
263,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,BUF,away,CHI,CHI,35.0,2014-09-07,695.0,1595.0,Half1,11:35,CHI 35,9-R.Gould kicks 65 yards from CHI 35 to BUF 0. 28-C.Spiller to BUF 29 for 29 yards (47-C.Conte; 32-S.Perry).,kickoff,65.0,0.354610863141716,0.66769270086661,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C.Spiller,00-0027861,,,R.Gould,00-0023252,,,BUF,29.0,,,,,,Home
541,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,CHI,home,BUF,BUF,35.0,2014-09-07,412.0,1312.0,Half1,06:52,BUF 35,4-J.Gay kicks 73 yards from BUF 35 to CHI -8. 32-S.Perry to CHI 13 for 21 yards (81-M.Easley).,kickoff,73.0,0.934267278760672,-0.530802143272013,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S.Perry,00-0031209,,,J.Gay,00-0030410,,,CHI,21.0,,,,,,Home
1269,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,CHI,home,BUF,BUF,35.0,2014-09-07,487.0,487.0,Half1,08:07,BUF 35,"4-J.Gay kicks 65 yards from BUF 35 to end zone, Touchback.",kickoff,65.0,1.0477123465389,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Gay,00-0030410,,,CHI,0.0,,,,,,Home
1508,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,CHI,home,BUF,BUF,35.0,2014-09-07,330.0,330.0,Half1,05:30,BUF 35,"4-J.Gay kicks 65 yards from BUF 35 to end zone, Touchback.",kickoff,65.0,0.737864324823022,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Gay,00-0030410,,,CHI,0.0,,,,,,Home
1939,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,CHI,home,BUF,BUF,35.0,2014-09-07,900.0,1800.0,Half2,15:00,BUF 35,"4-J.Gay kicks 65 yards from BUF 35 to end zone, Touchback.",kickoff,65.0,0.982298545073718,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Gay,00-0030410,,,CHI,0.0,,,,,,Home
2253,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,BUF,away,CHI,CHI,35.0,2014-09-07,574.0,1474.0,Half2,09:34,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.356802151538432,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,BUF,0.0,,,,,,Home
2634,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,BUF,away,CHI,CHI,35.0,2014-09-07,263.0,1163.0,Half2,04:23,CHI 35,9-R.Gould kicks 58 yards from CHI 35 to BUF 7. 38-F.Summers to BUF 18 for 11 yards (20-S.Draughn).,kickoff,58.0,0.314336330164224,-0.175167676527053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F.Summers,00-0026926,,,R.Gould,00-0023252,,,BUF,11.0,,,,,,Home
3680,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,CHI,home,BUF,BUF,35.0,2014-09-07,242.0,242.0,Half2,04:02,BUF 35,"4-J.Gay kicks 65 yards from BUF 35 to end zone, Touchback.",kickoff,65.0,0.759267693618313,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Gay,00-0030410,,,CHI,0.0,,,,,,Home
3997,2014_01_BUF_CHI,2014090702,CHI,BUF,REG,1,BUF,away,CHI,CHI,35.0,2014-09-07,30.0,30.0,Half2,00:30,CHI 35,"9-R.Gould kicks 65 yards from CHI 35 to end zone, Touchback.",kickoff,65.0,0.168431151600089,-0.168431151600089,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,R.Gould,00-0023252,,,BUF,0.0,,,,,,Home
