play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
35,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2001-09-09,900.0,1800.0,Half1,15:00,ATL 30,"4-J.Feely kicks 56 yards from ATL 30 to SF 14. 43-J.Lewis to SF 27 for 13 yards (50-A.Ulmer, 86-B.Finneran).",kickoff,56.0,0.637887817807496,0.586625094991177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Lewis,00-0019238,,,J.Feely,00-0019770,,,SF,13.0,,,,,,Home
755,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2001-09-09,84.0,984.0,Half1,01:24,ATL 30,"4-J.Feely kicks 62 yards from ATL 30 to SF 8. 43-J.Lewis to SF 27 for 19 yards (43-M.Smith, 50-A.Ulmer).",kickoff,62.0,0.641526601742953,0.505529505666345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Lewis,00-0019238,,,J.Feely,00-0019770,,,SF,19.0,,,,,,Home
1046,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,ATL,away,SF,SF,30.0,2001-09-09,685.0,685.0,Half1,11:25,SF 30,Holman to hold on kickoff 6-J.Cortez kicks 68 yards from SF 30 to ATL 2. 37-D.Vaughn to ATL 29 for 27 yards (56-T.Killens).,kickoff,68.0,0.109843780752271,0.53945330856368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Vaughn,00-0018964,,,J.Cortez,00-0003501,,,ATL,27.0,,,,,,Home
1357,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2001-09-09,245.0,245.0,Half1,04:05,ATL 30,"4-J.Feely kicks 69 yards from ATL 30 to SF 1. 14-V.Sutherland to SF 25 for 24 yards (50-A.Ulmer). PENALTY on SF-59-S.Elam, Offensive Holding, 10 yards, enforced at SF 25.",kickoff,69.0,0.424670422449708,-0.227883624844253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,V.Sutherland,00-0020273,,,J.Feely,00-0019770,,,SF,24.0,SF,00-0019909,S.Elam,10.0,Offensive Holding,Home
1759,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,ATL,away,SF,SF,30.0,2001-09-09,900.0,1800.0,Half2,15:00,SF 30,6-J.Cortez kicks 47 yards from SF 30 to ATL 23. 85-B.Kozlowski to ATL 30 for 7 yards (43-J.Lewis).,kickoff,47.0,-0.148694798350334,0.686541124712676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B.Kozlowski,00-0009443,,,J.Cortez,00-0003501,,,ATL,7.0,,,,,,Home
2296,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2001-09-09,289.0,1189.0,Half2,04:49,ATL 30,"4-J.Feely kicks 65 yards from ATL 30 to SF 5. 14-V.Sutherland to SF 26 for 21 yards (53-M.Simoneau, 50-A.Ulmer).",kickoff,65.0,0.607847058679909,0.455941657535732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,V.Sutherland,00-0020273,,,J.Feely,00-0019770,,,SF,21.0,,,,,,Home
2769,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,ATL,away,SF,SF,30.0,2001-09-09,689.0,689.0,Half2,11:29,SF 30,"6-J.Cortez kicks 59 yards from SF 30 to ATL 11. 37-D.Vaughn to ATL 22 for 11 yards (22-T.Jackson, 43-J.Lewis).",kickoff,59.0,0.124968810938299,0.0217434172518551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Vaughn,00-0018964,,,J.Cortez,00-0003501,,,ATL,11.0,,,,,,Home
3448,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,ATL,away,SF,SF,30.0,2001-09-09,8.0,8.0,Half2,00:08,SF 30,"6-J.Cortez kicks 56 yards from SF 30 to ATL 14. 37-D.Vaughn to ATL 27 for 13 yards (22-T.Jackson, 99-J.Milem).",kickoff,56.0,-0.0019674344512168,0.0134242915373761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Vaughn,00-0018964,,,J.Cortez,00-0003501,,,ATL,13.0,,,,,,Home
3507,2001_01_ATL_SF,2001090900,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2001-09-09,900.0,900.0,Overtime,15:00,ATL 30,"4-J.Feely kicks 70 yards from ATL 30 to end zone, Touchback.",kickoff,70.0,0.554834602400661,-0.0043142517097294,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Feely,00-0019770,,,SF,0.0,,,,,,Home
44,2001_01_CAR_MIN,2001090901,MIN,CAR,REG,1,CAR,away,MIN,MIN,30.0,2001-09-09,900.0,1800.0,Half1,15:00,MIN 30,"17-M.Berger kicks 63 yards from MIN 30 to CAR 7. 89-S.Smith for 93 yards, TOUCHDOWN.",kickoff,63.0,0.173702246975154,6.82629775302485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S.Smith,00-0020337,,,M.Berger,00-0001157,,,CAR,93.0,,,,,,Home
