play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
56,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,NE,home,BUF,BUF,30.0,2009-09-14,900.0,1800.0,Half1,15:00,BUF 30,9-R.Lindell kicks 71 yards from BUF 30 to NE -1. 39-L.Maroney pushed ob at BUF 49 for 52 yards (9-R.Lindell).,kickoff,71.0,0.813617561478168,2.04008260555565,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L.Maroney,00-0024236,,,R.Lindell,00-0019310,,,NE,52.0,,,,,,Home
831,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,NE,home,BUF,BUF,30.0,2009-09-14,178.0,1078.0,Half1,02:58,BUF 30,9-R.Lindell kicks 70 yards from BUF 30 to NE 0. 33-K.Faulk pushed ob at NE 32 for 32 yards (37-G.Wilson).,kickoff,70.0,0.775969767011702,0.94016539491713,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Faulk,00-0005091,,,R.Lindell,00-0019310,,,NE,32.0,,,,,,Home
1484,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,BUF,away,NE,NE,30.0,2009-09-14,382.0,382.0,Half1,06:22,NE 30,"3-S.Gostkowski kicks 76 yards from NE 30 to BUF -6. 28-L.McKelvin, Touchback.",kickoff,70.0,0.391750953160226,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,S.Gostkowski,00-0024333,,,BUF,0.0,,,,,,Home
1717,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,NE,home,BUF,BUF,30.0,2009-09-14,209.0,209.0,Half1,03:29,BUF 30,9-R.Lindell kicks 63 yards from BUF 30 to NE 7. 33-K.Faulk to NE 30 for 23 yards (57-J.Corto).,kickoff,63.0,0.638442784082145,0.589348141103983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Faulk,00-0005091,,,R.Lindell,00-0019310,,,NE,23.0,,,,,,Home
2044,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,BUF,away,NE,NE,30.0,2009-09-14,900.0,1800.0,Half2,15:00,NE 30,"3-S.Gostkowski kicks 70 yards from NE 30 to BUF 0. 28-L.McKelvin to BUF 21 for 21 yards (30-B.McGowan, 52-E.Alexander).",kickoff,70.0,0.0103581324219704,0.0480324719101191,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L.McKelvin,00-0026151,,,S.Gostkowski,00-0024333,,,BUF,21.0,,,,,,Home
2755,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,NE,home,BUF,BUF,30.0,2009-09-14,152.0,1052.0,Half2,02:32,BUF 30,9-R.Lindell kicks 69 yards from BUF 30 to NE 1. 33-K.Faulk to NE 23 for 22 yards (21-J.Wendling).,kickoff,69.0,0.774098135530949,0.16523253871128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Faulk,00-0005091,,,R.Lindell,00-0019310,,,NE,22.0,,,,,,Home
3093,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,BUF,away,NE,NE,30.0,2009-09-14,703.0,703.0,Half2,11:43,NE 30,"3-S.Gostkowski kicks 67 yards from NE 30 to BUF 3. 28-L.McKelvin to BUF 30 for 27 yards (88-S.Aiken, 58-P.Woods). FUMBLES (88-S.Aiken), recovered by BUF-54-Nic.Harris at BUF 22. 54-Nic.Harris to BUF 38 for 16 yards (38-B.Lockett).",kickoff,67.0,0.217443739064038,1.06936762412079,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,L.McKelvin,00-0026151,,,S.Gostkowski,00-0024333,,,BUF,19.0,,,,,,Home
3492,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,NE,home,BUF,BUF,30.0,2009-09-14,332.0,332.0,Half2,05:32,BUF 30,"9-R.Lindell kicks 69 yards from BUF 30 to NE 1. 33-K.Faulk to NE 19 for 18 yards (21-J.Wendling, 53-M.Buggs).",kickoff,69.0,0.596333193127066,-0.0626594698987901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Faulk,00-0005091,,,R.Lindell,00-0019310,,,NE,18.0,,,,,,Home
3794,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,BUF,away,NE,NE,30.0,2009-09-14,126.0,126.0,Half2,02:06,NE 30,"3-S.Gostkowski kicks 72 yards from NE 30 to BUF -2. 28-L.McKelvin to BUF 31 for 33 yards (58-P.Woods). FUMBLES (58-P.Woods), RECOVERED by NE-3-S.Gostkowski at BUF 31. 3-S.Gostkowski to BUF 31 for no gain (21-J.Wendling).",kickoff,72.0,0.508448316017166,-3.8333931339439,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,L.McKelvin,00-0026151,,,S.Gostkowski,00-0024333,,,BUF,33.0,,,,,,Home
3942,2009_01_BUF_NE,2009091400,NE,BUF,REG,1,BUF,away,NE,NE,30.0,2009-09-14,50.0,50.0,Half2,00:50,NE 30,"3-S.Gostkowski kicks 73 yards from NE 30 to BUF -3. 28-L.McKelvin to BUF 21 for 24 yards (25-P.Chung, 28-D.Butler).",kickoff,73.0,0.205382974992972,0.0057655932614579,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L.McKelvin,00-0026151,,,S.Gostkowski,00-0024333,,,BUF,24.0,,,,,,Home
36,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,GB,home,CHI,CHI,30.0,2009-09-13,900.0,1800.0,Half1,15:00,CHI 30,9-R.Gould kicks 67 yards from CHI 30 to GB 3. 87-J.Nelson ran ob at GB 49 for 46 yards (9-R.Gould).,kickoff,67.0,0.813617561478168,1.97352049755864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Nelson,00-0026176,,,R.Gould,00-0023252,,,GB,46.0,,,,,,Home
1300,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,CHI,away,GB,GB,30.0,2009-09-13,498.0,498.0,Half1,08:18,GB 30,2-M.Crosby kicks 73 yards from GB 30 to CHI -3. 38-D.Manning to CHI 24 for 27 yards (55-D.Bishop).,kickoff,73.0,0.472331466618925,0.214236516971141,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Manning,00-0024257,,,M.Crosby,00-0025580,,,CHI,27.0,,,,,,Home
1496,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,CHI,away,GB,GB,20.0,2009-09-13,352.0,352.0,Half1,05:52,GB 20,7-J.Kapinos kicks 62 yards from GB 20 to CHI 18. 23-D.Hester to CHI 44 for 26 yards (30-J.Kuhn).,kickoff,62.0,0.296081301290542,1.46821106551215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,J.Kapinos,00-0025786,,,CHI,26.0,,,,,,Home
1679,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,CHI,away,GB,GB,45.0,2009-09-13,276.0,276.0,Half1,04:36,GB 45,"7-J.Kapinos kicks 55 yards from GB 45 to end zone, Touchback.",kickoff,55.0,0.4276046322193,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Kapinos,00-0025786,,,CHI,0.0,,,,,,Home
2066,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,CHI,away,GB,GB,30.0,2009-09-13,900.0,1800.0,Half2,15:00,GB 30,2-M.Crosby kicks 75 yards from GB 30 to CHI -5. 38-D.Manning to CHI 21 for 26 yards (30-J.Kuhn).,kickoff,75.0,0.0103581324219704,0.0443989937193692,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Manning,00-0024257,,,M.Crosby,00-0025580,,,CHI,26.0,,,,,,Home
2338,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,GB,home,CHI,CHI,30.0,2009-09-13,614.0,1514.0,Half2,10:14,CHI 30,9-R.Gould kicks 62 yards from CHI 30 to GB 8. 87-J.Nelson to GB 32 for 24 yards (25-G.Wolfe).,kickoff,62.0,0.892358774784952,0.912719094660133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Nelson,00-0026176,,,R.Gould,00-0023252,,,GB,24.0,,,,,,Home
2673,2009_01_CHI_GB,2009091312,GB,CHI,REG,1,GB,home,CHI,CHI,30.0,2009-09-13,231.0,1131.0,Half2,03:51,CHI 30,9-R.Gould kicks 66 yards from CHI 30 to GB 4. 87-J.Nelson ran ob at GB 29 for 25 yards (35-Z.Bowman).,kickoff,66.0,0.873027427587658,0.705091404728591,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Nelson,00-0026176,,,R.Gould,00-0023252,,,GB,25.0,,,,,,Home
