play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
35,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,900.0,1800.0,Half1,15:00,ARI 30,C.Jacke kicks 68 yards from ARI 30 to PHI 2. A.Rossum to PHI 23 for 21 yards (P.Sapp).,kickoff,68.0,0.637887817807496,0.126818144228309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,C.Jacke,00-0008080,,,PHI,21.0,,,,,,Home
433,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,ARI,away,PHI,PHI,30.0,1999-09-12,473.0,1373.0,Half1,7:53,PHI 30,D.Akers kicks 59 yards from PHI 30 to ARI 11. M.Pittman to ARI 33 for 22 yards (B.Finneran).,kickoff,59.0,0.0285797342658043,0.798860549461097,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M.Pittman,00-0013013,,,D.Akers,00-0000108,,,ARI,22.0,,,,,,Home
1037,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,ARI,away,PHI,PHI,30.0,1999-09-12,139.0,1039.0,Half1,2:19,PHI 30,D.Akers kicks 68 yards from PHI 30 to ARI 2. M.Bates to ARI 23 for 21 yards (M.Caldwell).,kickoff,68.0,-0.0590992500074208,0.0977007001638412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M.Bates,00-0000871,,,D.Akers,00-0000108,,,ARI,21.0,,,,,,Home
1218,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,ARI,away,PHI,PHI,30.0,1999-09-12,16.0,916.0,Half1,0:16,PHI 30,D.Akers kicks 69 yards from PHI 30 to ARI 1. M.Bates to ARI 27 for 26 yards (A.Rossum).,kickoff,69.0,-0.0396974892355502,0.371643451973796,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M.Bates,00-0000871,,,D.Akers,00-0000108,,,ARI,26.0,,,,,,Home
1577,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,491.0,491.0,Half1,8:11,ARI 30,"C.Jacke kicks 72 yards from ARI 30 to PHI -2. A.Rossum to PHI 18 for 20 yards (M.Bates). PENALTY on PHI-T.Hauck, Offensive Holding, 9 yards, enforced at PHI 18.",kickoff,72.0,0.720167920459062,-0.720173860900104,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,C.Jacke,00-0008080,,,PHI,20.0,PHI,00-0007108,T.Hauck,9.0,Offensive Holding,Home
1786,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,315.0,315.0,Half1,5:15,ARI 30,C.Jacke kicks 61 yards from ARI 30 to PHI 9. E.Bieniemy to PHI 28 for 19 yards (J.Makovicka).,kickoff,61.0,0.422223849222064,0.311458856100217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Bieniemy,00-0001233,,,C.Jacke,00-0008080,,,PHI,19.0,,,,,,Home
2509,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,ARI,away,PHI,PHI,30.0,1999-09-12,900.0,1800.0,Half2,15:00,PHI 30,D.Akers kicks 65 yards from PHI 30 to ARI 5. M.Bates to ARI 41 for 36 yards (D.Jells).,kickoff,65.0,-0.148694798350334,1.2693413104862,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M.Bates,00-0000871,,,D.Akers,00-0000108,,,ARI,36.0,,,,,,Home
2842,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,542.0,1442.0,Half2,9:02,ARI 30,C.Jacke kicks 68 yards from ARI 30 to PHI 2. A.Rossum to PHI 28 for 26 yards (K.Lassiter).,kickoff,68.0,0.658032129518688,0.55423148535192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,C.Jacke,00-0008080,,,PHI,26.0,,,,,,Home
3464,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,893.0,893.0,Half2,14:53,ARI 30,C.Jacke kicks 51 yards from ARI 30 to PHI 19. B.Whiting to PHI 33 for 14 yards (K.Lassiter).,kickoff,51.0,0.562451662961394,0.846353496890515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B.Whiting,00-0017594,,,C.Jacke,00-0008080,,,PHI,14.0,,,,,,Home
4187,1999_01_ARI_PHI,1999091200,PHI,ARI,REG,1,PHI,home,ARI,ARI,30.0,1999-09-12,243.0,243.0,Half2,4:03,ARI 30,C.Jacke kicks 67 yards from ARI 30 to PHI 3. A.Rossum to PHI 31 for 28 yards (K.Lassiter).,kickoff,67.0,0.368254814762622,0.680073289200664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,C.Jacke,00-0008080,,,PHI,28.0,,,,,,Home
