play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
35,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,ARI,away,LA,LA,30.0,2004-09-12,900.0,1800.0,Half1,15:00,LA 30,"14-J.Wilkins kicks 62 yards from LA 30 to ARI 8. 33-J.Scobey to ARI 33 for 25 yards (41-J.Lucas, 33-A.Harris). PENALTY on ARI-44-M.Stone, Offensive Holding, 9 yards, enforced at ARI 18.",kickoff,62.0,0.0281489635817707,-0.665945112705231,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Scobey,00-0021098,,,J.Wilkins,00-0017693,,,ARI,10.0,ARI,00-0020383,M.Stone,9.0,Offensive Holding,Home
1228,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,ARI,away,LA,LA,30.0,2004-09-12,681.0,681.0,Half1,11:21,LA 30,14-J.Wilkins kicks 70 yards from LA 30 to ARI 0. 33-J.Scobey pushed ob at LA 29 for 71 yards (25-R.Coady).,kickoff,70.0,0.587846382288262,3.02453965612222,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Scobey,00-0021098,,,J.Wilkins,00-0017693,,,ARI,71.0,,,,,,Home
1370,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,LA,home,ARI,ARI,30.0,2004-09-12,490.0,490.0,Half1,08:10,ARI 30,1-N.Rackers kicks 68 yards from ARI 30 to LA 2. 33-A.Harris to LA 16 for 14 yards (58-K.Dansby).,kickoff,68.0,1.08219886012375,-0.412171180360019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Harris,00-0021750,,,N.Rackers,00-0019676,,,LA,14.0,,,,,,Home
1739,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,ARI,away,LA,LA,30.0,2004-09-12,159.0,159.0,Half1,02:39,LA 30,14-J.Wilkins kicks 72 yards from LA 30 to ARI -2. 33-J.Scobey to ARI 22 for 24 yards (52-T.Polley). LA 52 T.Polley injured on the play.,kickoff,72.0,0.505657373112626,0.0074411315144971,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Scobey,00-0021098,,,J.Wilkins,00-0017693,,,ARI,24.0,,,,,,Home
2015,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,LA,home,ARI,ARI,30.0,2004-09-12,900.0,1800.0,Half2,15:00,ARI 30,"1-N.Rackers kicks 67 yards from ARI 30 to LA 3. 39-S.Jackson to LA 23 for 20 yards (97-C.Pace). PENALTY on LA-25-R.Coady, Offensive Holding, 10 yards, enforced at LA 23. Arizona #97 Calvin Pace injured on the play.",kickoff,67.0,1.08712067641318,-0.44408555701375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,S.Jackson,00-0022736,,,N.Rackers,00-0019676,,,LA,20.0,LA,00-0003139,R.Coady,10.0,Offensive Holding,Home
2355,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,ARI,away,LA,LA,30.0,2004-09-12,350.0,1250.0,Half2,05:50,LA 30,14-J.Wilkins kicks 57 yards from LA 30 to ARI 13. 33-J.Scobey pushed ob at ARI 35 for 22 yards (41-J.Lucas).,kickoff,57.0,0.155690047424287,0.813171815592796,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Scobey,00-0021098,,,J.Wilkins,00-0017693,,,ARI,22.0,,,,,,Home
2615,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,LA,home,ARI,ARI,30.0,2004-09-12,57.0,957.0,Half2,00:57,ARI 30,"1-N.Rackers kicks 75 yards from ARI 30 to LA -5. 33-A.Harris, Touchback.",kickoff,70.0,0.995964583940804,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,N.Rackers,00-0019676,,,LA,0.0,,,,,,Home
2866,2004_01_ARI_STL,2004091208,LA,ARI,REG,1,ARI,away,LA,LA,30.0,2004-09-12,867.0,867.0,Half2,14:27,LA 30,14-J.Wilkins kicks 70 yards from LA 30 to ARI 0. 33-J.Scobey to ARI 11 for 11 yards (25-R.Coady).,kickoff,70.0,0.500964721897617,-0.724744811886922,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Scobey,00-0021098,,,J.Wilkins,00-0017693,,,ARI,11.0,,,,,,Home
35,2004_01_ATL_SF,2004091212,SF,ATL,REG,1,ATL,away,SF,SF,30.0,2004-09-12,900.0,1800.0,Half1,15:00,SF 30,2-T.Peterson kicks 71 yards from SF 30 to ATL -1. 20-A.Rossum to ATL 28 for 29 yards (25-J.Robertson).,kickoff,71.0,-0.139684297610074,0.506167466752231,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,T.Peterson,00-0012875,,,ATL,29.0,,,,,,Home
639,2004_01_ATL_SF,2004091212,SF,ATL,REG,1,SF,home,ATL,ATL,30.0,2004-09-12,252.0,1152.0,Half1,04:12,ATL 30,"4-J.Feely kicks 64 yards from ATL 30 to SF 6. 83-A.Battle to SF 28 for 22 yards (50-A.Ulmer, 87-J.Farris).",kickoff,64.0,0.84099194733426,0.524323796853423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Battle,00-0022064,,,J.Feely,00-0019770,,,SF,22.0,,,,,,Home
