play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
36,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BAL,home,BUF,BUF,35.0,2016-09-11,900.0,1800.0,Half1,15:00,BUF 35,4-Gay kicks 65 yards from BUF 35 to BAL 0. 14-D.Hester to BAL 14 for 14 yards (36-J.Meeks).,kickoff,65.0,1.45739114051685,-0.95511362189427,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,Gay,00-0030410,,,BAL,14.0,,,,,,Home
817,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BUF,away,BAL,BAL,35.0,2016-09-11,35.0,935.0,Half1,00:35,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,0.754318867344409,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,BUF,0.0,,,,,,Home
1189,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BUF,away,BAL,BAL,50.0,2016-09-11,611.0,611.0,Half1,10:11,MID 50,"9-J.Tucker kicks 50 yards from BAL 50 to end zone, Touchback.",kickoff,50.0,1.0397556333337,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,BUF,0.0,,,,,,Home
1567,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BAL,home,BUF,BUF,35.0,2016-09-11,182.0,182.0,Half1,03:02,BUF 35,4-Gay kicks 65 yards from BUF 35 to BAL 0. 14-D.Hester to BAL 23 for 23 yards (50-R.Humber).,kickoff,65.0,0.825680547626689,-0.0723411908838898,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Hester,00-0024272,,,Gay,00-0030410,,,BAL,23.0,,,,,,Home
1842,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BUF,away,BAL,BAL,35.0,2016-09-11,900.0,1800.0,Half2,15:00,BAL 35,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",kickoff,65.0,0.651268175337464,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Tucker,00-0029597,,,BUF,0.0,,,,,,Home
3233,2016_01_BUF_BAL,2016091101,BAL,BUF,REG,1,BUF,away,BAL,BAL,35.0,2016-09-11,339.0,339.0,Half2,05:39,BAL 35,9-J.Tucker kicks 56 yards from BAL 35 to BUF 9. 84-N.O'Leary ran ob at BUF 22 for 13 yards (23-K.Lewis).,kickoff,56.0,0.850304003339261,-0.226245956029743,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N.O'Leary,00-0032117,,,J.Tucker,00-0029597,,,BUF,13.0,,,,,,Home
36,2016_01_CAR_DEN,2016090800,DEN,CAR,REG,1,DEN,home,CAR,CAR,35.0,2016-09-08,900.0,1800.0,Half1,15:00,CAR 35,"9-G.Gano kicks 65 yards from CAR 35 to end zone, Touchback.",kickoff,65.0,1.45739114051685,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Gano,00-0026858,,,DEN,0.0,,,,,,Home
476,2016_01_CAR_DEN,2016090800,DEN,CAR,REG,1,DEN,home,CAR,CAR,20.0,2016-09-08,433.0,1333.0,Half1,07:13,CAR 20,"9-G.Gano kicks 80 yards from CAR 20 to end zone, Touchback.",kickoff,80.0,1.8205072726123,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Gano,00-0026858,,,DEN,0.0,,,,,,Home
980,2016_01_CAR_DEN,2016090800,DEN,CAR,REG,1,CAR,away,DEN,DEN,40.0,2016-09-08,736.0,736.0,Half1,12:16,DEN 40,8-B.McManus kicks 58 yards from DEN 40 to CAR 2. 19-T.Ginn to CAR 11 for 9 yards (14-C.Latimer).,kickoff,58.0,0.72628880944103,-1.09896279522218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,T.Ginn,00-0025396,,,B.McManus,00-0029822,,,CAR,9.0,,,,,,Home
1510,2016_01_CAR_DEN,2016090800,DEN,CAR,REG,1,DEN,home,CAR,CAR,35.0,2016-09-08,181.0,181.0,Half1,03:01,CAR 35,"9-G.Gano kicks 65 yards from CAR 35 to end zone, Touchback.",kickoff,65.0,0.930930139962584,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Gano,00-0026858,,,DEN,0.0,,,,,,Home
