play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
35,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,DET,home,ARI,ARI,30.0,2003-09-07,900.0,1800.0,Half1,15:00,ARI 30,7-B.Gramatica kicks 59 yards from ARI 30 to DET 11. 18-E.Drummond to DET 30 for 19 yards (34-D.Jackson).,kickoff,59.0,1.08712067641318,0.676784829702228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Drummond,00-0020692,,,B.Gramatica,00-0020296,,,DET,19.0,,,,,,Home
537,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,DET,home,ARI,ARI,30.0,2003-09-07,348.0,1248.0,Half1,05:48,ARI 30,7-B.Gramatica kicks 60 yards from ARI 30 to DET 10. 18-E.Drummond to DET 42 for 32 yards (82-K.Kasper).,kickoff,60.0,1.30757062509656,1.24571760115214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Drummond,00-0020692,,,B.Gramatica,00-0020296,,,DET,32.0,,,,,,Home
743,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,120.0,1020.0,Half1,02:00,DET 30,4-J.Hanson kicks 70 yards from DET 30 to ARI 0. 82-K.Kasper to ARI 21 for 21 yards (28-Bra.Walker).,kickoff,70.0,0.0543197821825743,0.0044192057102918,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Kasper,00-0020256,,,J.Hanson,00-0006800,,,ARI,21.0,,,,,,Home
1090,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,25.0,2003-09-07,678.0,678.0,Half1,11:18,DET 25,4-J.Hanson kicks 62 yards from DET 25 to ARI 13. 20-D.Anderson to ARI 29 for 16 yards (30-C.Schlesinger).,kickoff,62.0,0.34183348249644,0.505101650953293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,D.Anderson,00-0021048,,,J.Hanson,00-0006800,,,ARI,16.0,,,,,,Home
1492,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,DET,home,ARI,ARI,30.0,2003-09-07,335.0,335.0,Half1,05:35,ARI 30,"7-B.Gramatica kicks 64 yards from ARI 30 to DET 6. 18-E.Drummond pushed ob at DET 39 for 33 yards (34-D.Jackson). PENALTY on ARI-34-D.Jackson, Face Mask (15 Yards), 15 yards, enforced at DET 39.",kickoff,64.0,0.586363333743066,1.48418375477195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Drummond,00-0020692,,,B.Gramatica,00-0020296,,,DET,33.0,ARI,00-0008115,D.Jackson,15.0,Face Mask,Home
1849,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,900.0,1800.0,Half2,15:00,DET 30,4-J.Hanson kicks 63 yards from DET 30 to ARI 7. 82-K.Kasper to ARI 28 for 21 yards (58-W.Rainer).,kickoff,63.0,0.0281489635817707,0.462622026912868,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Kasper,00-0020256,,,J.Hanson,00-0006800,,,ARI,21.0,,,,,,Home
1944,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,DET,home,ARI,ARI,30.0,2003-09-07,839.0,1739.0,Half2,13:59,ARI 30,"7-B.Gramatica kicks 59 yards from ARI 30 to DET 11. 18-E.Drummond to DET 29 for 18 yards (31-M.Shipp, 23-J.Rhinehart).",kickoff,59.0,1.11142475251108,0.68049102416262,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Drummond,00-0020692,,,B.Gramatica,00-0020296,,,DET,18.0,,,,,,Home
2293,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,501.0,1401.0,Half2,08:21,DET 30,4-J.Hanson kicks 74 yards from DET 30 to ARI -4. 82-K.Kasper to ARI 26 for 30 yards (27-J.Wyrick).,kickoff,74.0,0.213511465117335,0.305430138017982,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Kasper,00-0020256,,,J.Hanson,00-0006800,,,ARI,30.0,,,,,,Home
2725,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,192.0,1092.0,Half2,03:12,DET 30,"4-J.Hanson kicks 66 yards from DET 30 to ARI 4, out of bounds.",kickoff,30.0,0.293307165615261,1.13484361534938,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Hanson,00-0006800,,,ARI,0.0,,,,,,Home
2888,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,DET,home,ARI,ARI,30.0,2003-09-07,44.0,944.0,Half2,00:44,ARI 30,7-B.Gramatica kicks 66 yards from ARI 30 to DET 4. 18-E.Drummond to DET 21 for 17 yards (53-M.Young).,kickoff,66.0,0.963098942767829,0.0106852781027555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,E.Drummond,00-0020692,,,B.Gramatica,00-0020296,,,DET,17.0,,,,,,Home
3200,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,703.0,703.0,Half2,11:43,DET 30,4-J.Hanson kicks 67 yards from DET 30 to ARI 3. 82-K.Kasper pushed ob at ARI 40 for 37 yards (23-O.Smith).,kickoff,67.0,0.474602776579559,1.08821073872969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Kasper,00-0020256,,,J.Hanson,00-0006800,,,ARI,37.0,,,,,,Home
3291,2003_01_ARI_DET,2003090700,DET,ARI,REG,1,ARI,away,DET,DET,30.0,2003-09-07,650.0,650.0,Half2,10:50,DET 30,4-J.Hanson kicks 73 yards from DET 30 to ARI -3. 82-K.Kasper to ARI 24 for 27 yards (27-J.Wyrick).,kickoff,73.0,0.49570131720975,0.13160198321566,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Kasper,00-0020256,,,J.Hanson,00-0006800,,,ARI,27.0,,,,,,Home
35,2003_01_ATL_DAL,2003090710,DAL,ATL,REG,1,ATL,away,DAL,DAL,30.0,2003-09-07,900.0,1800.0,Half1,15:00,DAL 30,"4-T.Gowin kicks 69 yards from DAL 30 to ATL 1. 20-A.Rossum to ATL 25 for 24 yards (24-T.Dixon, 31-R.Williams). Return middle.",kickoff,69.0,-0.139684297610074,0.435399948619306,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,T.Gowin,00-0006181,,,ATL,24.0,,,,,,Home
309,2003_01_ATL_DAL,2003090710,DAL,ATL,REG,1,DAL,home,ATL,ATL,30.0,2003-09-07,520.0,1420.0,Half1,08:40,ATL 30,"4-J.Feely kicks 74 yards from ATL 30 to DAL -4. 80-R.Swinton, Touchback.",kickoff,70.0,0.800826690625399,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Feely,00-0019770,,,DAL,0.0,,,,,,Home
594,2003_01_ATL_DAL,2003090710,DAL,ATL,REG,1,ATL,away,DAL,DAL,30.0,2003-09-07,265.0,1165.0,Half1,04:25,DAL 30,4-T.Gowin kicks 70 yards from DAL 30 to ATL 0. 20-A.Rossum to ATL 23 for 23 yards (89-R.Williams). Return right side of the field.,kickoff,70.0,-0.0484501896426082,0.0869800467044115,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A.Rossum,00-0014071,,,T.Gowin,00-0006181,,,ATL,23.0,,,,,,Home
