play_id,game_id,old_game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_half,time,yrdln,desc,play_type,kick_distance,ep,epa,touchback,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,own_kickoff_recovery,own_kickoff_recovery_td,kickoff_attempt,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,location
35,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,LA,home,ARI,ARI,35.0,2013-09-08,900.0,1800.0,Half1,15:00,ARI 35,4-J.Feely kicks 62 yards from ARI 35 to LA 3. 36-B.Cunningham to LA 24 for 21 yards (35-J.Arenas).,kickoff,62.0,1.13982269447297,0.147065031342208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B.Cunningham,00-0029795,,,J.Feely,00-0019770,,,LA,21.0,,,,,,Home
894,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,LA,home,ARI,ARI,35.0,2013-09-08,851.0,851.0,Half1,14:11,ARI 35,4-J.Feely kicks 44 yards from ARI 35 to LA 21. 61-T.Barnes (didn't try to advance) to LA 21 for no gain (83-K.Sperry).,kickoff,44.0,1.01587271504104,0.0042339540086686,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,T.Barnes,00-0028274,,,J.Feely,00-0019770,,,LA,0.0,,,,,,Home
1126,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,ARI,away,LA,LA,35.0,2013-09-08,680.0,680.0,Half1,11:20,LA 35,4-G.Zuerlein kicks 71 yards from LA 35 to ARI -6. 35-J.Arenas to ARI 8 for 14 yards (53-D.Bates).,kickoff,71.0,0.565916696097702,-0.902621431974694,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Arenas,00-0027660,,,G.Zuerlein,00-0029621,,,ARI,14.0,,,,,,Home
1462,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,LA,home,ARI,ARI,35.0,2013-09-08,323.0,323.0,Half1,05:23,ARI 35,"4-J.Feely kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,0.755594170186669,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Feely,00-0019770,,,LA,0.0,,,,,,Home
1893,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,ARI,away,LA,LA,35.0,2013-09-08,26.0,26.0,Half1,00:26,LA 35,"4-G.Zuerlein kicks 70 yards from LA 35 to ARI -5. 35-J.Arenas, Touchback.",kickoff,65.0,0.219286248553544,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Zuerlein,00-0029621,,,ARI,0.0,,,,,,Home
2059,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,ARI,away,LA,LA,35.0,2013-09-08,900.0,1800.0,Half2,15:00,LA 35,"4-G.Zuerlein kicks 65 yards from LA 35 to end zone, Touchback.",kickoff,65.0,0.261746042408049,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Zuerlein,00-0029621,,,ARI,0.0,,,,,,Home
2232,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,ARI,away,LA,LA,35.0,2013-09-08,837.0,1737.0,Half2,13:57,LA 35,"4-G.Zuerlein kicks 65 yards from LA 35 to end zone, Touchback.",kickoff,65.0,0.325573712121695,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,G.Zuerlein,00-0029621,,,ARI,0.0,,,,,,Home
2440,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,LA,home,ARI,ARI,35.0,2013-09-08,634.0,1534.0,Half2,10:34,ARI 35,4-J.Feely kicks 71 yards from ARI 35 to LA -6. 36-B.Cunningham to LA 19 for 25 yards (97-L.Alexander).,kickoff,71.0,1.10093464655802,-0.0880544940009713,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B.Cunningham,00-0029795,,,J.Feely,00-0019770,,,LA,25.0,,,,,,Home
2930,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,LA,home,ARI,ARI,35.0,2013-09-08,107.0,1007.0,Half2,01:47,ARI 35,"4-J.Feely kicks 65 yards from ARI 35 to end zone, Touchback.",kickoff,65.0,1.09593968233094,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,J.Feely,00-0019770,,,LA,0.0,,,,,,Home
3199,2013_01_ARI_STL,2013090810,LA,ARI,REG,1,ARI,away,LA,LA,35.0,2013-09-08,776.0,776.0,Half2,12:56,LA 35,"4-G.Zuerlein kicks 73 yards from LA 35 to ARI -8. 35-J.Arenas to ARI 10 for 18 yards (27-M.Giordano). FUMBLES (27-M.Giordano), recovered by ARI-22-T.Jefferson at ARI 12. 22-T.Jefferson to ARI 12 for no gain (34-C.Reynolds).",kickoff,73.0,0.679519855650142,-0.571267122635618,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,J.Arenas,00-0027660,,,G.Zuerlein,00-0029621,,,ARI,18.0,,,,,,Home
